Unnamed: 0,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist,pl_density,insolation,habitable_type,ESI,Bio_Class,v_esc,Atmosphere_Class,Adams_Score,Adams_Category,AstroBiom_Score,cluster_id,Planet_Type_ML
48,KOI-1257 b,KOI-1257,Transit,2014,10.54,460.83,86.647661,0.382,0.772,511.0,0.99,1.13,5520.0,0.0268030478509224,G5 V,,0.3935672128693731,7.289140509799243,Too Hot (Hot Zone),0.3180855134434961,Extreme Environment,73.96476495537065,Atmosphere Likely,0.0,Not Habitable,3.1808551344349616,1.0,Rocky / Super-Earth
49,Kepler-634 b,Kepler-634,Transit,2016,1.89,3.7111739973159263,5.16950177,0.0590905525084311,,1341.9352296185086,1.03,1.24,6075.0,0.2739183493731567,,888.027,0.5497002115181497,538.1238589317078,Too Hot (Hot Zone),0.1191785262235399,Extreme Environment,15.67471204173964,Atmosphere Risk (Erosion),0.0,Not Habitable,1.1917852622353993,1.0,Rocky / Super-Earth
50,Kepler-684 b,Kepler-684,Transit,2016,3.36,12.141124468068336,6.770302008,0.0673713444012409,,946.3562894059872,0.89,0.86,5493.0,-0.2188748514601416,,1731.27,0.32006713268945,133.098978040355,Too Hot (Hot Zone),0.1613951433662694,Extreme Environment,21.263494148966338,Atmosphere Likely,0.0,Not Habitable,1.6139514336626946,1.0,Rocky / Super-Earth
51,Kepler-393 b,Kepler-393,Transit,2014,1.29,1.6897202283056765,9.182417,0.091,,1163.0202139474477,,1.382,6189.0,0.4003878668149024,,881.404,0.7871285632458526,303.6023173733078,Too Hot (Hot Zone),0.1670532351598539,Extreme Environment,12.802281178759705,Atmosphere Risk (Erosion),0.0,Not Habitable,1.6705323515985395,1.0,Rocky / Super-Earth
53,WASP-133 b,WASP-133,Transit,2016,13.56289,368.6828,2.176423,0.0345,0.17,1790.0,1.16,1.44,5700.0,0.2931142568477523,G4,559.084,0.1477733635616473,1649.970071509957,Too Hot (Hot Zone),0.0388673628077989,Extreme Environment,58.3210230732571,Atmosphere Likely,0.0,Not Habitable,0.388673628077989,0.0,Gas Giant (Jovian)
54,KELT-15 b,KELT-15,Transit,2016,19.50366,416.3573,3.32944,0.0555234425920383,0.0,1638.97982146379,2.06,1.78,6003.0,0.5672032280085707,,324.683,0.0561200218197485,1197.4308882290748,Too Hot (Hot Zone),0.0305649493138829,Extreme Environment,51.68325386071185,Atmosphere Likely,0.0,Not Habitable,0.3056494931388292,0.0,Gas Giant (Jovian)
57,HD 21520 b,HD 21520,Transit,2024,2.697,17.7,25.1292,0.1726,0.0,637.0,1.09,1.044,5871.0,0.06595,,79.208,0.9022573466603035,39.072249656041265,Too Hot (Hot Zone),0.3618225896094905,Extreme Environment,28.656356734807886,Atmosphere Likely,0.0,Not Habitable,3.6182258960949056,1.0,Rocky / Super-Earth
58,Kepler-690 b,Kepler-690,Transit,2016,5.95,39.400791789750734,7.748094374,0.0793433947021975,,1090.2219953997856,1.11,1.16,5913.0,0.1690373444175469,,1665.31,0.1870484235125622,234.4314041554311,Too Hot (Hot Zone),0.1031829575459691,Extreme Environment,28.78517054118466,Atmosphere Likely,0.0,Not Habitable,1.0318295754596911,1.0,Rocky / Super-Earth
59,TOI-1836 b,TOI-1836,Transit,2024,8.00321222,38.45723725,20.380799,0.1597,0.0,966.0,1.307,1.577,6380.0,0.5682,,191.649,0.0750213857648129,145.07419444209123,Too Hot (Hot Zone),0.0875770923068018,Extreme Environment,24.52063366972768,Atmosphere Likely,0.0,Not Habitable,0.875770923068018,1.0,Rocky / Super-Earth
61,K2-3 b,K2-3,Transit,2015,2.078,5.11,10.0546535,0.0747,0.107,501.3,0.549,0.546,3844.0,-1.23136,M V,44.0727,0.5694875977231693,10.51958958354555,Too Hot (Hot Zone),0.4573794118019693,Extreme Environment,17.541328972384637,Atmosphere Likely,0.0,Not Habitable,4.573794118019693,1.0,Rocky / Super-Earth
62,Kepler-1898 b,Kepler-1898,Transit,2021,0.93353523,0.8678991578460233,4.765620232,0.0522309538215703,,1276.0654520076118,0.837,1.125,5702.0,0.0793037467558147,,360.921,1.0667855653079683,439.99509301120634,Too Hot (Hot Zone),0.1531430521183436,Extreme Environment,10.785594601378133,Atmosphere Risk (Erosion),0.0,Not Habitable,1.5314305211834365,1.0,Rocky / Super-Earth
63,K2-240 b,K2-240,Transit,2018,2.0,4.169863043364486,6.034,0.0513,,586.0,0.58,0.54,3810.0,-1.27572,M0.5 V,72.9105,0.5212328804205607,20.13934166408904,Too Hot (Hot Zone),0.3725427557610375,Extreme Environment,16.15179198111464,Atmosphere Likely,0.0,Not Habitable,3.725427557610375,1.0,Rocky / Super-Earth
64,HAT-P-18 b,HAT-P-18,Transit,2010,11.153,62.61,5.508023,0.0559,0.084,852.0,0.77,0.749,4803.0,-0.569,K2,161.4,0.0451303391470526,86.33291087921891,Too Hot (Hot Zone),0.0832285508173311,Extreme Environment,26.503352681476688,Atmosphere Likely,0.0,Not Habitable,0.8322855081733115,0.0,Gas Giant (Jovian)
66,Kepler-1886 b,Kepler-1886,Transit,2021,2.58158428,7.054817673111157,24.2758007,0.1600435654051049,,633.5298875745416,0.928,0.837,5745.0,-0.1644991019489766,,1059.51,0.4100406096996909,26.731569737229854,Too Hot (Hot Zone),0.30787142039676,Extreme Environment,18.491602882890195,Atmosphere Likely,0.0,Not Habitable,3.0787142039676003,1.0,Rocky / Super-Earth
67,TOI-1470 c,TOI-1470,Transit,2023,2.47,7.24,18.08816,0.106,0.5,373.0,0.471,0.469,3709.0,-1.42481,M1.5 V,51.9503,0.4804494564849162,3.346403220059697,Too Hot (Hot Zone),0.597574704361197,Complex Life Possible,19.15118367225856,Atmosphere Likely,4.0,Prime Habitability (Adams 2025),9.97574704361197,1.0,Rocky / Super-Earth
68,WASP-164 b,WASP-164,Transit,2018,12.643752,676.9779,1.7771255,0.02818,0.0,1610.0,0.946,0.932,5806.0,-0.0527701993421301,G2 V,327.506,0.3349242433504637,1115.1873209812456,Too Hot (Hot Zone),0.0590879058921248,Extreme Environment,81.85101631367122,Atmosphere Likely,0.0,Not Habitable,0.5908790589212483,0.0,Gas Giant (Jovian)
