,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist
921,HD 86065 b,HD 86065,Radial Velocity,2022,,2877.30056857,25775.78859,15.947,0.219,,0.81,,,,,40.3661
922,K2-177 b,K2-177,Transit,2018,2.1162048,,14.155185,,,,1.210525,1.213565,6063.0,,,492.167
923,KOI-142 b,KOI-142,Transit,2013,3.438,9.5,10.91647,,0.05561,,0.99,0.897,5466.0,,,376.863
924,HD 4917 b,HD 4917,Radial Velocity,2018,,513.29545,400.5,1.167,0.066,,1.32,5.01,4802.0,,,204.277
925,K2-155 d,K2-155,Transit,2018,1.9,,40.718,0.1937,,381.0,0.65,0.58,4258.0,,,72.7998
926,Kepler-609 b,Kepler-609,Transit,2016,3.35,,6.521210666,,,,1.09,1.14,5971.0,,,1065.82
927,HIP 8152 b,HIP 8152,Transit,2023,2.53625843,8.9,10.751014,0.093,0.0,794.96,0.9373,0.9603,5618.0,-0.0804,,101.694
928,Kepler-1086 b,Kepler-1086,Transit,2016,2.44,,18.78425728,,,,0.7,0.66,4350.0,,,466.084
929,Kepler-1473 b,Kepler-1473,Transit,2016,1.19,,14.4273551,,,,1.09,1.09,6046.0,,,652.253
930,Kepler-1015 b,Kepler-1015,Transit,2016,3.55,,16.00494214,,,,1.49,1.81,6769.0,,,739.357
931,Kepler-1922 b,Kepler-1922,Transit,2021,2.29064904,,13.22259998,,,,0.953,0.863,5931.0,,,1344.29
932,HD 219828 b,HD 219828,Radial Velocity,2007,,19.06970442,3.83483,0.049,0.091,,1.04,,,,,73.114
933,HD 20003 b,HD 20003,Radial Velocity,2019,,11.66,11.8482,0.0974,0.36,,0.875,,5494.0,-0.14267,G8 V,41.8316
934,TOI-286 c,TOI-286,Transit,2024,1.88,3.72,39.361826,0.213,0.0,475.0,0.832,0.78,5152.0,-0.41364,K3 V,59.2293
935,K2-322 b,K2-322,Transit,2020,1.92,,8.205,0.0594,,635.0,0.63,0.602,4141.0,,,123.415
936,Kepler-1893 b,Kepler-1893,Transit,2021,1.70557445,,4.179369926,,,,0.973,1.162,5633.0,,,1050.72
937,Kepler-1491 b,Kepler-1491,Transit,2016,1.51,,16.5861762,,,,1.0,0.99,5728.0,,,2065.59
938,Kepler-802 b,Kepler-802,Transit,2016,3.54,,40.0587473,,,,0.93,0.9,5507.0,,,780.585
939,HD 161178 b,HD 161178,Radial Velocity,2021,,181.16219199,279.3,0.85,0.044,,1.06,10.95,4786.0,1.75097,G9 III,107.188
940,Kepler-527 b,Kepler-527,Transit,2016,2.84,,13.28535633,,,,1.28,1.45,6388.0,,,750.04
941,Kepler-880 b,Kepler-880,Transit,2016,2.66,,7.71468975,,,,1.46,1.74,6761.0,,,601.324
942,Kepler-31 b,Kepler-31,Transit,2011,5.5,,20.8613,0.16,,,1.21,1.22,6340.0,,,1664.64
943,Kepler-593 b,Kepler-593,Transit,2016,2.87,,21.21708973,,,,1.08,1.1,5967.0,,,973.76
944,HD 9446 b,HD 9446,Radial Velocity,2009,,222.472,30.052,0.189,0.2,,1.0,1.0,5793.0,0.04139,G5 V,50.3503
945,Kepler-535 b,Kepler-535,Transit,2016,2.36,,4.903321551,,,,1.18,1.27,6123.0,,,685.599
946,CoRoT-35 b,CoRoT-35,Transit,2022,18.83108758,349.6112477,3.22748,0.0429,0.0,1747.0,1.01,1.65,6390.0,,F6 V,1123.21
947,Kepler-261 b,Kepler-261,Transit,2014,2.18,,10.381227,0.088,,,,0.794,5098.0,,,317.499
948,Kepler-534 c,Kepler-534,Transit,2021,1.227,,7.378689766,,,,1.075,0.965,5936.0,,,570.659
949,K2-154 b,K2-154,Transit,2018,1.99,,3.67626,0.0405,,715.0,0.65,0.63,4097.0,,,129.356
950,TOI-1333 b,TOI-1333,Transit,2021,15.647764,753.2571,4.720219,0.0626,0.073,1679.0,1.464,1.925,6274.0,0.71349,,200.492
951,TOI-1438 c,TOI-1438,Transit,2025,2.75,10.6,9.428089,0.083,0.0,794.0,0.876,0.82,5230.0,-0.34679,K0 V,110.513
952,Kepler-249 b,Kepler-249,Transit,2014,1.09,,3.306539,0.035,,,,0.482,3568.0,,,190.401
953,HD 190360 c,HD 190360,Radial Velocity,2005,,19.069,17.111,0.1304,0.237,,0.98,1.16804,5549.0,0.06647,,16.0069
954,Kepler-1950 b,Kepler-1950,Transit,2021,1.52696349,,10.77690029,,,,0.759,0.852,5455.0,,,697.253
955,Kepler-1589 b,Kepler-1589,Transit,2016,1.09,,0.991665274,,,,1.18,1.25,6166.0,,,1513.14
956,KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,Microlensing,2021,,245.0457018,,0.681,,,0.064,,,,,6421.0
957,Kepler-1494 b,Kepler-1494,Transit,2016,3.07,,91.080482,,,,0.96,0.94,5659.0,,,1285.48
958,GJ 876 c,GJ 876,Radial Velocity,2000,,226.9846,30.0881,0.12959,0.25591,,0.32,0.3,,-1.90658,,4.67517
959,K2-384 e,K2-384,Transit,2022,1.345,,9.715043,,,,0.33,0.348,3623.0,,M4 V,82.6603
960,Ross 458 c,Ross 458,Imaging,2010,14.01125,1906.98,,1100.0,,,,,,,,11.5094
961,Kepler-695 b,Kepler-695,Transit,2016,9.21,,3.040330424,,,,0.84,0.8,5181.0,,,842.947
962,OGLE-2014-BLG-1760L b,OGLE-2014-BLG-1760L,Microlensing,2016,,180.0,,1.75,,,0.51,,,,,6860.0
963,Kepler-388 b,Kepler-388,Transit,2014,0.81,,3.173315,0.036,,,,0.586,4498.0,,,
964,Kepler-1488 b,Kepler-1488,Transit,2016,1.86,,39.8189932,,,,1.05,1.31,5820.0,,,905.825
965,nu Oct A b,nu Oct A,Radial Velocity,2016,,696.04421133,402.4,1.24,0.195,,1.57,5.04,4910.0,1.12057,K1 IV,21.1999
966,Kepler-83 b,Kepler-83,Transit,2012,2.83,,9.77,,,,0.66,0.61,,,,400.409
967,GJ 163 c,GJ 163,Radial Velocity,2013,,6.8,25.63058,0.1254,0.099,,,,,,,15.1285
968,WASP-135 b,WASP-135,Transit,2015,14.5717,603.877,1.4013794,0.0243,0.0,,0.98,0.96,5675.0,,G5 V,298.214
969,Kepler-775 b,Kepler-775,Transit,2016,1.19,,0.974868926,,,,0.92,0.84,5468.0,,,398.676
970,HAT-P-21 b,HAT-P-21,Transit,2010,12.44199,1547.8321,4.12448,,0.23,,1.24,1.21,5588.0,,,277.278
971,Kepler-908 b,Kepler-908,Transit,2016,1.22,,1.340597468,,,,1.11,1.12,5973.0,,,290.843
972,HAT-P-58 b,HAT-P-58,Transit,2021,14.93036229,118.2321674,4.0138379,0.04994,0.073,1622.0,1.031,1.53,6078.0,0.45637,,515.59
973,M62H b,M62H,Pulsar Timing,2024,,785.03616529,0.132935028,,,,1.4,,,,,
974,Kepler-804 c,Kepler-804,Transit,2016,1.14,,9.65185017,,,,1.01,1.05,5817.0,,,649.65
975,MXB 1658-298 b,MXB 1658-298,Eclipse Timing Variations,2017,,7532.571,760.0,1.613,,,,,,,,
976,TOI-5726.01,TOI-5726,Transit,2024,2.554,,5.491125215,0.062186,,,1.06,1.106,5874.0,,,108.848
977,KIC 5479689 b,KIC 5479689,Orbital Brightness Modulation,2021,,158.9142035,1.701531,,,,0.966,0.894,5459.1,,,454.95
978,Kepler-194 c,Kepler-194,Transit,2014,2.59,,17.308032,0.131,,,,1.025,6089.0,,,1097.97
979,TOI-2322 c,TOI-2322,Transit,2025,1.874,18.1,20.225528,0.1362,0.0,496.8,0.703,0.662,4664.0,-0.74232,K4,59.861
980,K2-374 c,K2-374,Transit,2022,2.213,,16.43445,,,,0.731,0.907,5789.0,,,359.439
981,Kepler-215 b,Kepler-215,Transit,2014,1.62,,9.360672,0.084,,,,1.027,5739.0,,,485.997
982,XO-4 b,XO-4,Transit,2010,14.01125,451.3186,4.12508,,0.0,,1.1,1.45,6397.0,,,272.655
983,Kepler-184 d,Kepler-184,Transit,2014,2.49,,29.022358,0.179,,,,0.873,5788.0,,,610.326
984,TOI-559 b,TOI-559,Transit,2021,12.22899794,1910.14872607,6.9839095,0.0723,0.151,1180.0,1.026,1.233,5925.0,0.22737,G V,233.266
985,Kepler-39 b,Kepler-39,Transit,2011,13.9,6388.1,21.08721,0.164,0.112,897.0,1.29,1.4,6350.0,,F7 V,1057.41
986,K2-192 b,K2-192,Transit,2018,1.52,,4.162817,0.049,,939.0,0.9,0.81,5222.0,,,221.753
987,HD 75898 b,HD 75898,Radial Velocity,2007,,810.46243785,422.82,1.2025,0.105,,1.295,,6122.0,,F8 V,78.0505
988,Kepler-221 e,Kepler-221,Transit,2014,2.63,,18.369917,0.13,,,,0.821,5243.0,,,385.231
989,Kepler-1007 b,Kepler-1007,Transit,2016,1.44,,5.185002073,,,,0.73,0.7,4587.0,,,
990,Kepler-1275 b,Kepler-1275,Transit,2016,1.48,,3.65691115,,,,1.23,1.36,6296.0,,,1153.98
991,WASP-3 b,WASP-3,Transit,2007,15.91678,772.3269,1.84683,,0.0,,1.62,1.44,6400.0,,,231.161
992,Kepler-596 b,Kepler-596,Transit,2016,3.46,,21.30022655,,,,1.21,1.32,6267.0,,,1023.85
993,KELT-4 A b,KELT-4 A,Transit,2016,19.044091,286.68266,2.9895932,0.04317,0.0,1823.0,1.201,1.603,6206.0,0.53529,F,218.05
994,HAT-P-54 b,HAT-P-54,Transit,2015,10.581296,241.5508,3.799847,0.04117,0.074,818.0,0.645,0.617,4390.0,-0.9017,,143.651
995,Kepler-1765 b,Kepler-1765,Transit,2021,2.49508857,,10.41889954,,,,0.946,1.064,5692.0,,,764.456
996,TOI-2088 b,TOI-2088,Transit,2024,3.6831179,37.0,124.72997,0.472,0.0,300.33,0.9027,0.8481,5081.0,-0.36151,,126.46
997,TOI-1659.01,TOI-1659,Transit,2024,2.255,,5.877556328,0.065757,,,1.1,1.006,5977.0,,,122.494
998,K2-332 b,K2-332,Transit,2021,2.2,,17.70632,,,266.0,0.27,0.28,3315.0,,,123.202
999,TOI-1117 d,TOI-1117,Radial Velocity,2025,,10.71,8.665,0.0817,0.0,978.0,0.97,1.05,5635.0,-0.4437,G5 V,167.598
1000,K2-405 b,K2-405,Transit,2022,4.569,,3.435471,,,,1.034,0.765,4927.0,,,197.234
1001,Kepler-228 c,Kepler-228,Transit,2014,2.7,,4.134444,0.052,,,,1.014,6043.0,,,1644.61
1002,WASP-69 b,WASP-69,Transit,2014,11.21,82.58,3.86813881,0.0453,0.0,971.0,0.83,0.801,4792.0,-0.48149,K,49.9605
1003,TOI-2345 c,TOI-2345,Transit,2025,2.451,7.27,21.064302,0.1257,,544.0,0.727,0.729,4687.0,-0.63639,K,81.6541
1004,Kepler-510 b,Kepler-510,Transit,2016,2.47,,19.55659418,,,,0.91,1.41,5746.0,,,386.177
1005,Kepler-1350 c,Kepler-1350,Transit,2016,1.73,,1.766789062,,,,0.55,0.53,3827.0,,,340.691
1006,Kepler-444 d,Kepler-444,Transit,2015,0.53,,6.189392,0.06,0.18,,0.758,0.752,5046.0,,K,36.4396
1007,OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,Microlensing,2019,,890.0,,0.8,,,0.18,,,,,7100.0
1008,KELT-18 b,KELT-18,Transit,2017,17.59813,375.0394,2.8717518,0.0455,0.0,2085.0,1.524,1.908,6670.0,0.81291,F4 V,321.376
1009,Kepler-688 b,Kepler-688,Transit,2016,9.76,,3.895936844,,,,0.98,0.96,5715.0,,,1357.75
1010,Kepler-1788 b,Kepler-1788,Transit,2021,2.37850461,,2.800120115,,,,0.686,0.704,4786.0,,,560.445
1011,Kepler-534 b,Kepler-534,Transit,2016,2.24,,15.95994513,,,,1.05,0.98,5884.0,,,570.659
1012,Kepler-656 c,Kepler-656,Transit,2023,1.41,,5.25449393,0.0602,0.0,975.0,1.05,0.954,5550.0,,,890.352
1013,Kepler-67 b,Kepler-67,Transit,2013,2.94,,15.7259,0.1171,,,0.865,0.778,5331.0,,G9 V,1131.19
1014,TOI-199 c,TOI-199,Transit Timing Variations,2023,,88.99195396,273.69,0.807,0.096,,0.936,0.82,5255.0,-0.33819,G9 V,102.27
1015,TOI-1695 b,TOI-1695,Transit,2022,1.9,6.36,3.1342791,0.033548,0.097,698.0,0.513,0.515,3690.0,-1.3536,M1 V,45.1309
1016,Kepler-620 b,Kepler-620,Transit,2016,3.32,,12.91375431,,,,1.15,1.22,6155.0,,,1355.28
1017,Kepler-18 b,Kepler-18,Transit,2011,2.0,6.9,3.504725,0.0447,0.0,,0.972,1.108,5345.0,-0.031,,433.047
1018,HD 93351 c,HD 93351,Radial Velocity,2022,,4154.01727949,14010.2941,11.154,0.109,,0.94,,,,,56.163
1019,Kepler-1031 b,Kepler-1031,Transit,2016,0.87,,1.22621732,,,,1.09,1.12,6011.0,,,682.882
1020,Kepler-579 b,Kepler-579,Transit,2016,2.0,,9.66857723,,,,0.99,0.96,5636.0,,,530.765
1021,Kepler-1666 b,Kepler-1666,Transit,2020,2.88273782,,25.8476,,,,1.23,1.14586,6293.0,0.26839,,1379.37
1022,HAT-P-32 b,HAT-P-32,Transit,2011,22.19382,216.1244,2.1500082,0.03397,0.159,1835.7,1.132,1.367,6001.0,0.33806,,289.205
1023,K2-22 b,K2-22,Transit,2015,2.3,,0.381073,,,,,0.58,3879.0,,,243.836
1024,K2-183 d,K2-183,Transit,2018,2.3,,22.620344,,,,,0.87,5482.0,,,329.041
1025,WISPIT 1 c,WISPIT 1,Imaging,2025,,1684.4905571,,840.0,,,,,4670.0,,K4 V,230.007
1026,KPS-1 b,KPS-1,Transit,2018,11.54527,346.4347,1.706291,0.0269,0.0,1459.0,0.892,0.907,5165.0,,K1 V,262.706
1027,Kepler-564 b,Kepler-564,Transit,2016,4.63,,3.750832285,,,,0.95,0.92,5626.0,,,863.037
1028,Kepler-1742 b,Kepler-1742,Transit,2021,2.1782413,,49.47819901,,,,0.939,0.849,5776.0,,,669.573
1029,SWEEPS-4 b,SWEEPS-4,Transit,2006,9.079,1207.7,4.2,0.055,,,1.24,1.18,,,,
1030,Kepler-1057 b,Kepler-1057,Transit,2016,3.36,,14.08827448,,,,1.07,1.1,5987.0,,,1201.82
1031,K2-413 c,K2-413,Transit,2022,1.2327,,5.3301,0.0426,,,0.808,0.7,4116.0,,,285.162
1032,HD 17156 b,HD 17156,Radial Velocity,2007,12.26262489,1036.12060682,21.2164294,0.1632,0.6772,888.0,1.285,1.517,6046.0,0.44091,,78.0863
1033,Kepler-340 b,Kepler-340,Transit,2014,2.53,,14.844387,0.134,,,,1.85,6620.0,,,808.762
1034,HD 12484 b,HD 12484,Radial Velocity,2016,,947.1334,58.83,0.297,0.07,,1.01,,5920.0,,F8,48.3367
1035,HD 177830 b,HD 177830,Radial Velocity,1999,,537.1327,410.10001,1.14,0.1,,1.7,3.26,4901.0,,,62.7674
1036,Kepler-327 b,Kepler-327,Transit,2014,1.11,,2.549575,0.029,,,,0.492,3799.0,,,241.987
1037,WASP-50 b,WASP-50,Transit,2011,13.069694,466.828704,1.9551,0.0293,,1394.84,0.892,0.843,5400.0,,,184.848
1038,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,,4131.79,,84.0,,,0.19,,,,M5.5/M6,
1039,K2-241 b,K2-241,Transit,2018,2.55,,26.8199,0.1567,,507.0,0.71,0.75,5262.0,,,149.464
1040,Kepler-271 b,Kepler-271,Transit,2014,1.23,,10.43547805,,,,0.9,0.87,5555.0,,,404.542
1041,OGLE-2013-BLG-1721L b,OGLE-2013-BLG-1721L,Microlensing,2017,,200.0,,2.6,,,0.46,,,,,6300.0
1042,Kepler-1447 b,Kepler-1447,Transit,2016,2.9,,56.6747285,,,,0.97,0.95,5722.0,,,890.296
1043,K2-352 b,K2-352,Transit,2021,1.37,,3.665912,,,1160.0,0.98,0.95,5791.0,,,176.051
1044,Kepler-122 c,Kepler-122,Transit,2014,5.87,,12.465988,0.108,,,,1.216,6050.0,,,1027.45
1045,BD+45 564 b,BD+45 564,Radial Velocity,2021,,432.24663352,307.88,0.83,0.12,,0.81,,5004.0,,K1,53.622
1046,Kepler-732 c,Kepler-732,Transit,2016,1.27,,0.893041236,,,,0.49,0.46,3631.0,,,174.826
1047,TOI-5634 A b,TOI-5634 A,Transit,2024,10.42,588.0,2.2035373,0.0272,0.0,837.0,0.556,0.54,3896.0,-1.24489,,306.144
1048,TOI-628 b,TOI-628,Transit,2021,11.88154,2011.8639,3.4095675,0.0486,0.072,1586.0,1.311,1.345,6250.0,0.39445,,178.68
1049,Kepler-1791 b,Kepler-1791,Transit,2021,3.12103321,,7.720860004,,,,0.985,1.177,5887.0,,,602.218
1050,HD 113337 b,HD 113337,Radial Velocity,2013,,1035.80277841,317.58639,1.022,0.28,,1.41,,,,,36.18
1051,TOI-257 b,TOI-257,Transit,2021,7.16253867,43.86032017,18.38818,0.1528,0.0,1027.0,1.407,1.867,6095.0,0.63649,,76.9028
1052,Kepler-1567 b,Kepler-1567,Transit,2016,2.73,,153.979578,,,,0.95,0.93,5655.0,,,1206.11
1053,TOI-260 b,TOI-260,Transit,2024,1.71,4.23,13.475853,0.0943,0.0,493.0,0.616,0.607,4026.0,-1.05899,K8 V,20.1852
1054,Kepler-114 d,Kepler-114,Transit,2013,2.53,3.9,11.776,,,,0.56,0.54,,,,259.533
1055,Kepler-666 b,Kepler-666,Transit,2016,2.4,,4.49876092,,,,1.03,1.05,5887.0,,,1508.71
1056,HD 35843 b,HD 35843,Radial Velocity,2025,,5.84,9.8991,0.088,0.0,,0.94,0.897,5666.0,-0.12494,,69.6026
1057,24 Boo b,24 Boo,Radial Velocity,2018,,280.64248338,30.33,0.194,0.032,,1.05,12.19,4816.0,1.87691,G3 IV,95.9863
1058,K2-208 b,K2-208,Transit,2018,1.67462172,,4.19097,0.04878,0.37,1122.0,0.881,0.872,5500.0,-0.20135,,256.887
1059,Kepler-131 c,Kepler-131,Transit,2014,0.84,8.25,25.5169,,,,1.02,1.03,5685.0,,,228.678
1060,Kepler-485 b,Kepler-485,Transit,2016,14.41,,3.243259796,,,,1.07,1.09,5958.0,,,1140.95
1061,Kepler-681 b,Kepler-681,Transit,2016,3.08,,26.39435646,,,,0.8,0.76,5021.0,,,686.923
1062,Kepler-632 b,Kepler-632,Transit,2016,2.21,,30.99660733,,,,0.91,0.84,5322.0,,,
1063,Kepler-1777 b,Kepler-1777,Transit,2021,2.13189678,,12.18420029,,,,0.984,1.068,5771.0,,,619.146
1064,KMT-2023-BLG-1431L b,KMT-2023-BLG-1431L,Microlensing,2024,,13.6,,3.2,,,0.57,,,,,6800.0
1065,WASP-148 b,WASP-148,Transit,2020,8.47398941,91.21675281,8.803809,0.08215,0.208,,0.954,0.912,5555.0,-0.13906,,246.353
1066,Kepler-894 b,Kepler-894,Transit,2016,2.78,,9.803224,,,,0.87,0.85,5603.0,,,1162.91
1067,K2-179 b,K2-179,Transit,2018,2.51267885,,5.172191,,,,0.824345,0.768067,5015.0,,,190.81
1068,K2-35 b,K2-35,Transit,2016,1.32,,2.399964,0.031,0.13,,0.701968,0.619575,4402.71,,,252.596
1069,TOI-5713 b,TOI-5713,Transit,2024,1.77,,10.441989,0.06008,0.24,347.2,0.2653,0.2992,3225.0,-2.05849,M3.5+/-0.5,40.8668
1070,Kepler-125 b,Kepler-125,Transit,2014,2.37,,4.164389,0.041,,,,0.512,3810.0,,,183.365
1071,MOA-2013-BLG-220L b,MOA-2013-BLG-220L,Microlensing,2014,,871.0,,3.03,,,0.88,,,,,6720.0
1072,K2-34 b,K2-34,Transit,2016,13.75,,2.9956348,0.0442,,1687.0,1.16,1.42,6168.0,,,348.646
1073,Kepler-623 b,Kepler-623,Transit,2016,3.01,,9.07097734,,,,0.9,0.86,5443.0,,,737.702
1074,HAT-P-31 b,HAT-P-31,Transit,2011,12.21781,721.4741,5.00542,,0.25,,1.31,1.39,6065.0,,,344.05
1075,KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,Microlensing,2022,,79.45710175,,0.93,,,0.14,,,,M V,8240.0
1076,K2-193 b,K2-193,Transit,2018,3.95,,14.786889,0.1184,,739.0,1.01,0.98,5817.0,,,411.923
1077,Kepler-1312 c,Kepler-1312,Transit,2021,1.02732734,,1.116119981,,,,0.983,0.905,5721.0,,,299.104
1078,HD 18143 b,HD 18143,Radial Velocity,2022,,10.80616584,10.2851,0.088,0.224,,0.85,,,,,22.5243
1079,HD 23472 d,HD 23472,Transit,2022,0.75,0.55,3.97664,0.04298,0.07,909.0,0.67,0.71,4684.0,-0.62525,K4 V,39.0341
1080,HATS-40 b,HATS-40,Transit,2018,17.71022,505.3497,3.2642736,0.04997,0.312,2101.0,1.561,2.26,6460.0,0.90309,,1342.29
1081,Kepler-1396 b,Kepler-1396,Transit,2016,2.07,,18.2206421,,,,1.18,1.27,6195.0,,,1066.46
1082,Kepler-204 b,Kepler-204,Transit,2014,2.53,,14.400974,0.117,,,,1.238,5812.0,,,686.723
1083,TOI-2583 A b,TOI-2583 A,Transit,2023,14.4595851,79.45710175,4.5207265,0.0571,0.0,1456.0,1.215,1.477,5936.0,0.38828,,566.189
1084,HD 99492 b,HD 99492,Radial Velocity,2004,,25.5,17.0503,,0.034,,0.85,,4929.0,,K2 V,18.2038
1085,Kepler-1300 b,Kepler-1300,Transit,2016,1.37,,22.2419092,,,,1.29,1.79,6130.0,,,777.025
1086,Kepler-180 c,Kepler-180,Transit,2014,3.01,,41.885775,0.229,,,,1.063,5731.0,,,695.65
1087,Kepler-880 c,Kepler-880,Transit,2023,2.87,,11.8061737,0.1216,0.0,1407.0,1.714,2.599,6900.0,,,601.324
1088,TOI-1803 c,TOI-1803,Transit,2025,4.29,8.0,12.885779,0.097,0.0,588.0,0.756,0.715,4687.0,-0.65365,,119.24
1089,K2-268 b,K2-268,Transit,2018,1.5,,2.151676,,,1136.0,0.84,0.78,5106.0,,,327.783
1090,HD 15906 b,HD 15906,Transit,2023,2.24,,10.924709,0.09,0.11,668.0,0.79,0.762,4757.0,-0.56864,K V,45.5621
1091,Kepler-1322 c,Kepler-1322,Transit,2021,2.15492527,,6.459980011,,,,0.897,0.804,5704.0,,,1350.32
1092,Kepler-271 d,Kepler-271,Transit,2016,0.66,,5.24972541,,,,0.9,0.87,5555.0,,,404.542
1093,K2-118 b,K2-118,Transit,2017,2.54,,50.92092,0.245,0.2,,0.756446,0.734626,4726.29,,,321.722
1094,WASP-55 b,WASP-55,Transit,2012,14.72860064,186.2474465,4.465631,,,1342.0,1.071,1.09,6096.0,,,297.462
1095,Kepler-269 c,Kepler-269,Transit,2014,1.69,,8.127899,0.081,,,,0.959,5847.0,,,2257.32
1096,Kepler-881 b,Kepler-881,Transit,2016,1.78,,4.44448017,,,,1.06,1.09,5961.0,,,1375.18
1097,Kepler-1482 b,Kepler-1482,Transit,2016,1.01,,12.25383217,,,,0.88,0.84,5381.0,,,567.556
1098,HD 98736 b,HD 98736,Radial Velocity,2018,,740.5439,968.8,1.864,0.226,,0.92,0.93,5271.0,-0.22,,32.4459
1099,Kepler-505 b,Kepler-505,Transit,2016,2.6,,27.52197994,,,,0.55,0.53,3931.0,,,283.41
1100,TOI-431 b,TOI-431,Transit,2021,1.28,3.07,0.490047,0.0113,0.0,1862.0,0.78,0.731,4850.0,,,32.5686
1101,Kepler-156 c,Kepler-156,Transit,2014,2.55,,15.906801,0.117,,,,0.807,5094.0,,,443.483
1102,Kepler-1735 b,Kepler-1735,Transit,2021,1.19429134,,7.71792984,,,,0.535,0.509,3975.0,,,245.303
1103,K2-139 b,K2-139,Transit,2017,9.11,,28.380619,0.1796,,524.0,0.96,0.88,5370.0,,,153.856
1104,Kepler-152 c,Kepler-152,Transit,2014,2.39,,88.255055,0.356,,,,0.724,5088.0,,,441.09
1105,Kepler-415 c,Kepler-415,Transit Timing Variations,2014,,,8.708,,,,0.67,0.643,,,,530.487
1106,HIP 35965 b,HIP 35965,Radial Velocity,2022,,2589.98368864,26125.56497,15.898,0.138,,0.78,,,,,50.1677
1107,K2-43 b,K2-43,Transit,2016,4.51,,3.471149,,,939.3,0.571,0.542,3840.6,,,182.536
1108,Kepler-1781 b,Kepler-1781,Transit,2021,2.38091029,,4.88752985,,,,1.053,0.957,5568.0,,,962.63
1109,WASP-41 b,WASP-41,Transit,2012,12.3299,270.1555,3.0524,,0.0,,0.81,0.83,5545.0,,,163.371
1110,WASP-138 b,WASP-138,Transit,2016,12.21781,387.7526,3.634433,0.0494,,1590.0,1.22,1.36,6272.0,,,414.234
1111,K2-220 b,K2-220,Transit,2018,2.37,,13.68186,,,761.0,0.91,1.026,5612.0,,,233.514
1112,Kepler-980 b,Kepler-980,Transit,2016,2.67,,11.55102504,,,,1.05,1.06,5935.0,,,961.468
1113,Kepler-42 c,Kepler-42,Transit,2011,0.73,,0.45328509,0.006,,720.0,0.13,0.17,3068.0,-2.62,M,40.0595
1114,K2-72 d,K2-72,Transit,2016,1.01,,7.760178,0.05,0.11,,0.271365,0.330989,3360.47,,,66.4321
1115,NGC 2682 Sand 978 b,NGC 2682 Sand 978,Radial Velocity,2017,,692.8694,511.21,,0.16,,1.37,,4200.0,,K4 III,821.918
1116,K2-218 b,K2-218,Transit,2018,2.56948149,,8.679885,,,,1.047488,1.008231,5757.0,,,394.083
1117,Kepler-102 b,Kepler-102,Transit,2014,0.46,1.1,5.286965,0.05521,0.1,857.0,0.803,0.724,4909.0,,,107.796
1118,Kepler-48 e,Kepler-48,Radial Velocity,2014,,657.0,982.0,,,,0.88,0.89,5194.0,,,306.738
1119,Kepler-314 b,Kepler-314,Transit,2014,0.83,,2.461069,0.035,,,,0.95,5378.0,,,268.881
1120,MOA-2008-BLG-310L b,MOA-2008-BLG-310L,Microlensing,2009,,23.4,,1.1,,,0.21,,,,,7700.0
1121,Kepler-1713 b,Kepler-1713,Transit,2021,1.71673535,,18.01160049,,,,1.3,1.459,6477.0,,,295.293
1122,Kepler-1845 b,Kepler-1845,Transit,2021,2.43836702,,11.60649967,,,,0.686,0.701,4703.0,,,710.724
1123,TOI-122 b,TOI-122,Transit,2020,2.72,,5.07803,0.0392,0.0,471.0,0.312,0.334,3403.0,-1.85387,M3 V,62.118
1124,Kepler-114 c,Kepler-114,Transit,2013,1.6,2.8,8.041,,,,0.56,0.54,,,,259.533
1125,Kepler-158 c,Kepler-158,Transit,2014,1.9,,28.551383,0.158,,,,0.624,4623.0,,,315.177
1126,ROXs 12 b,ROXs 12,Imaging,2013,,5085.0,,210.0,,,0.87,,3850.0,,M0,136.65
1127,HD 106315 b,HD 106315,Transit,2017,2.44,12.6,9.55237,0.0907,0.093,1153.0,1.091,1.296,6327.0,,F5 V,109.353
1128,2M0437 b,2MASS J04372171+2651014,Imaging,2021,,1271.313628,,118.0,,1450.0,0.17,0.84,3100.0,-1.16368,M V,128.484
1129,Kepler-899 b,Kepler-899,Transit,2016,2.68,,19.17891293,,,,0.93,0.91,5595.0,,,1246.43
1130,Kepler-896 b,Kepler-896,Transit,2016,2.53,,144.547396,,,,0.84,0.81,5262.0,,,2334.93
1131,K2-85 b,K2-85,Transit,2016,1.4,3.2,0.68453862616,,,1355.0,0.7,0.71,4232.0,,,97.2179
1132,Kepler-466 b,Kepler-466,Transit,2016,2.85,,51.07926307,,,,1.04,1.05,5927.0,,,530.122
1133,Kepler-217 d,Kepler-217,Transit,2016,1.32,,3.88689525,,,,1.37,1.76,6341.0,,,1104.64
1134,Kepler-62 b,Kepler-62,Transit,2013,1.31,9.0,5.714932,0.0553,,750.0,0.69,0.64,4925.0,-0.678,K2 V,300.874
1135,Kepler-811 b,Kepler-811,Transit,2016,2.7,,23.58447697,,,,1.01,1.24,5747.0,,,985.041
