,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist
46,HD 29985 b,HD 29985,Radial Velocity,2022,,1739.47487151,20608.14049,13.39,0.261,,0.75,,,,,31.2707
47,K2-222 b,K2-222,Transit,2018,2.35,8.7,15.38857,0.1206,0.16,871.0,0.989,1.115,5942.0,,,101.321
48,KOI-1257 b,KOI-1257,Transit,2014,10.54,460.83,86.647661,0.382,0.772,511.0,0.99,1.13,5520.0,,G5 V,
49,Kepler-634 b,Kepler-634,Transit,2016,1.89,,5.16950177,,,,1.03,1.24,6075.0,,,888.027
50,Kepler-684 b,Kepler-684,Transit,2016,3.36,,6.770302008,,,,0.89,0.86,5493.0,,,1731.27
51,Kepler-393 b,Kepler-393,Transit,2014,1.29,,9.182417,0.091,,,,1.382,6189.0,,,881.404
52,KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,Microlensing,2021,,705.57906354,,3.54,,,0.65,,,,,5840.0
53,WASP-133 b,WASP-133,Transit,2016,13.56289,368.6828,2.176423,0.0345,0.17,1790.0,1.16,1.44,5700.0,,G4,559.084
54,KELT-15 b,KELT-15,Transit,2016,19.50366,416.3573,3.32944,,0.0,,2.06,1.78,6003.0,,,324.683
55,HD 331093 b,HD 331093,Radial Velocity,2021,,476.7426105,621.62,1.44,0.59,,1.03,,5544.0,,K0,50.1928
56,MOA-2012-BLG-505L b,MOA-2012-BLG-505L,Microlensing,2017,,6.7,,0.9,,,0.1,,,,,7210.0
57,HD 21520 b,HD 21520,Transit,2024,2.697,17.7,25.1292,0.1726,0.0,637.0,1.09,1.044,5871.0,0.06595,,79.208
58,Kepler-690 b,Kepler-690,Transit,2016,5.95,,7.748094374,,,,1.11,1.16,5913.0,,,1665.31
59,TOI-1836 b,TOI-1836,Transit,2024,8.00321222,38.45723725,20.380799,0.1597,0.0,966.0,1.307,1.577,6380.0,0.5682,,191.649
60,HD 202206 c,HD 202206,Radial Velocity,2004,,5689.157,1260.0,2.41,0.22,,1.07,1.04,5766.0,,G6 V,45.9665
61,K2-3 b,K2-3,Transit,2015,2.078,5.11,10.0546535,0.0747,0.107,501.3,0.549,0.546,3844.0,-1.23136,M V,44.0727
62,Kepler-1898 b,Kepler-1898,Transit,2021,0.93353523,,4.765620232,,,,0.837,1.125,5702.0,,,360.921
63,K2-240 b,K2-240,Transit,2018,2.0,,6.034,0.0513,,586.0,0.58,0.54,3810.0,-1.27572,M0.5 V,72.9105
64,HAT-P-18 b,HAT-P-18,Transit,2010,11.153,62.61,5.508023,0.0559,0.084,852.0,0.77,0.749,4803.0,-0.569,K2,161.4
65,HD 219134 h,HD 219134,Radial Velocity,2015,,108.0622,2247.0,3.11,0.06,,0.794,0.77,4913.0,-0.50864,K3 V,6.53127
66,Kepler-1886 b,Kepler-1886,Transit,2021,2.58158428,,24.2758007,,,,0.928,0.837,5745.0,,,1059.51
67,TOI-1470 c,TOI-1470,Transit,2023,2.47,7.24,18.08816,0.106,0.5,373.0,0.471,0.469,3709.0,-1.42481,M1.5 V,51.9503
68,WASP-164 b,WASP-164,Transit,2018,12.643752,676.9779,1.7771255,0.02818,0.0,1610.0,0.946,0.932,5806.0,,G2 V,327.506
69,K2-24 c,K2-24,Transit,2016,7.5,15.4,42.3391,,0.07,,1.07,1.16,5625.0,,,170.562
70,Kepler-1576 b,Kepler-1576,Transit,2016,1.04,,6.98471973,,,,1.05,1.06,5876.0,,,460.91
71,Kepler-55 e,Kepler-55,Transit,2014,1.55,,4.617534,0.048,,,,0.619,4503.0,,,578.796
72,WASP-160 B b,WASP-160 B,Transit,2018,12.21781,88.35674,3.7684952,0.0452,0.0,1119.0,0.87,0.868,5298.0,,K0 V,288.326
73,HIP 75092 b,HIP 75092,Radial Velocity,2021,,568.91284853,926.4,2.02,0.42,,1.28,4.53,4891.0,1.01995,K0 III,81.6696
74,Kepler-31 d,Kepler-31,Transit,2014,3.9,2161.244,87.6451,0.4,,,1.21,1.22,6340.0,,,1664.64
75,Kepler-109 c,Kepler-109,Transit,2014,2.65,8.2,21.22265,0.1546,0.098,859.0,1.094,1.387,5950.0,,,474.861
76,Kepler-607 c,Kepler-607,Transit,2021,2.76001201,,39.67679977,,,,0.808,0.888,5244.0,,,519.122
77,Kepler-1284 b,Kepler-1284,Transit,2016,1.21,,0.664073806,,,,0.84,0.79,5123.0,,,882.324
78,HIP 38594 c,HIP 38594,Radial Velocity,2020,,48.4,3477.768,3.805,0.16,,0.61,,,,M0,17.7886
79,Kepler-65 e,Kepler-65,Radial Velocity,2019,,260.0,258.8,,0.283,,1.248,1.437,,,,303.728
80,Kepler-263 b,Kepler-263,Transit,2014,2.67,,16.568087,0.12,,,,0.785,5265.0,,,754.747
81,Kepler-1026 b,Kepler-1026,Transit,2016,2.21,,36.5156053,,,,0.79,0.75,4948.0,,,351.239
82,Kepler-594 b,Kepler-594,Transit,2016,2.18,,13.64618192,,,,0.91,0.87,5485.0,,,769.2
83,Kepler-371 b,Kepler-371,Transit,2014,1.89,,34.763278,0.2,,,,0.992,5666.0,,,813.192
84,HD 154391 b,HD 154391,Radial Velocity,2023,,2892.2385037,5163.0,7.46,0.2,,2.07,8.56,4909.0,1.58115,K1 III,100.947
85,Kepler-340 c,Kepler-340,Transit,2014,3.37,,22.824669,0.178,,,,1.85,6620.0,,,808.762
86,Kepler-229 c,Kepler-229,Transit,2014,4.92,,16.068638,0.117,,,,0.728,5120.0,,,826.265
87,Kepler-33 c,Kepler-33,Transit,2011,3.2,,13.17562,0.1189,0.0,,1.291,1.82,5904.0,0.556,,1209.16
88,Kepler-1266 b,Kepler-1266,Transit,2016,2.58,,28.474748,,,,0.8,0.76,5044.0,,,849.312
89,Kepler-1637 b,Kepler-1637,Transit,2016,0.89,,6.10960324,,,,1.02,1.02,5789.0,,,567.187
90,Kepler-879 b,Kepler-879,Transit,2016,2.57,,33.3855938,,,,1.02,1.02,5792.0,,,802.672
91,HAT-P-35 b,HAT-P-35,Transit,2011,14.930388,335.62848,3.646706,0.04978,0.02,,1.236,1.435,6096.0,,,506.965
92,Kepler-1463 b,Kepler-1463,Transit,2016,1.86,,25.15864,,,,0.96,0.95,5679.0,,,1687.47
93,Kepler-778 b,Kepler-778,Transit,2016,1.68,,3.75574426,,,,0.81,0.77,5102.0,,,938.168
94,HD 75289 b,HD 75289,Radial Velocity,1999,,155.7367,3.50927,0.05,0.03,,1.29,1.23,6117.0,,,29.1158
95,Kepler-357 c,Kepler-357,Transit,2014,2.67,,16.85837,0.12,,,,0.834,5036.0,,,688.573
96,EPIC 212424622 b,EPIC 212424622,Transit,2019,2.17,,18.0983,,,,1.106,,,,,611.804
97,Kepler-341 c,Kepler-341,Transit,2014,1.7,,8.01041,0.08,,,,1.024,6012.0,,,1047.03
98,GJ 1061 d,GJ 1061,Radial Velocity,2020,,1.64,13.031,0.054,0.53,,0.12,0.156,2953.0,-2.76955,M5.5 V,3.67278
99,BD-13 2130 b,BD-13 2130,Radial Velocity,2007,,3108.3774,714.29999,1.66,0.21,,2.12,19.17,4545.0,,,925.214
100,eps CrB b,eps CrB,Radial Velocity,2012,,2129.461,417.9,1.3,0.11,,1.7,21.0,4406.0,,K2 III,69.8683
101,Kepler-1342 b,Kepler-1342,Transit,2016,1.66,,2.215710358,,,,0.93,0.9,5527.0,,,890.724
102,Kepler-52 d,Kepler-52,Transit,2014,1.95,,36.445171,0.182,,,,0.556,4263.0,,,321.542
103,Kepler-321 c,Kepler-321,Transit,2014,2.32,,13.093921,0.11,,,,1.194,5740.0,,,384.542
104,Kepler-780 b,Kepler-780,Transit,2016,0.89,,0.677375164,,,,1.01,1.02,5769.0,,,557.652
105,WASP-126 c,WASP-126,Transit Timing Variations,2019,,64.2,7.63,,0.05,,1.12,1.27,5800.0,,,216.526
106,TOI-1789 b,TOI-1789,Transit,2021,16.14093221,222.4798849,3.208664,0.04882,,1927.0,1.507,2.168,5991.0,0.7364,F,229.067
107,Kepler-816 b,Kepler-816,Transit,2016,10.24,,10.506825646,,,,0.9,0.85,5286.0,,,983.697
108,GJ 328 b,GJ 328,Radial Velocity,2013,,797.74930157,3771.0,4.11,0.227,,0.65,0.63,3897.0,-1.08,M0.0,20.5266
109,TOI-544 c,TOI-544,Radial Velocity,2023,,21.5,50.089,,0.32,,0.631,0.623,4169.0,,,41.1166
110,GJ 667 C f,GJ 667 C,Radial Velocity,2013,,2.7,39.026,0.156,0.03,,0.33,,3350.0,-1.863,M1.5 V,7.24396
111,TOI-2420 b,TOI-2420,Transit,2024,15.02003414,294.62693329,5.842641,0.0684,0.055,1571.6,1.158,2.369,,0.68664,,435.174
112,Kepler-910 b,Kepler-910,Transit,2016,0.82,,2.364369015,,,,1.26,1.5,6230.0,,,400.289
113,K2-391 b,K2-391,Transit,2022,1.371,,4.622654,,,,0.757,0.566,5543.0,,,507.94
114,TOI-1117 b,TOI-1117,Transit,2025,2.46,8.9,2.22816,0.033,0.0,1538.0,0.97,1.05,5635.0,-0.4437,G5 V,167.598
