Unnamed: 0,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist,pl_density,insolation,habitable_type,ESI,Bio_Class,v_esc,Atmosphere_Class,Adams_Score,Adams_Category,AstroBiom_Score
558,TOI-2768 b,TOI-2768,Transit,2024,2.63,7.330082149618716,1.50801,0.027,,855.0,0.63,0.657,4008.0,-0.99801,M,78.4525,0.40294112665247117,137.80420554338588,Too Hot (Hot Zone),0.20481388849474214,Extreme Environment,18.674602298839723,Atmosphere Risk (Erosion),0.0,Not Habitable,2.0481388849474214
560,HIP 97166 b,HIP 97166,Transit,2021,2.4801338,19.1,10.288914,0.091,0.29,701.66,0.9342,0.8418,5216.0,-0.32514,,65.9501,1.2520106813224348,57.11855543993847,Too Hot (Hot Zone),0.3152764535008002,Extreme Environment,31.04230367076503,Atmosphere Likely,0.0,Not Habitable,3.152764535008002
561,K2-371 b,K2-371,Transit,2022,13.024,197.86703151155288,3.114905,0.04114889941226985,,1004.3833047709932,0.958,0.736,4925.0,-0.5437295820231929,,442.813,0.08956540121721293,168.87057037773604,Too Hot (Hot Zone),0.08069222381331968,Extreme Environment,43.60028623286007,Atmosphere Likely,0.0,Not Habitable,0.8069222381331969
562,WASP-171 b,WASP-171,Transit,2019,10.98482,344.52772,3.8186244,0.0504,0.0,1642.0,1.171,1.637,5965.0,0.48342900081661316,G0,757.84,0.25992337381333985,1198.3065354531502,Too Hot (Hot Zone),0.05474919395256379,Extreme Environment,62.6455790097431,Atmosphere Likely,0.0,Not Habitable,0.5474919395256379
565,NGTS-31 b,NGTS-31,Transit,2025,18.04645893,355.96781584,4.162734,0.064,0.0,1410.0,0.96,1.7,5710.0,0.44033212570722746,,497.376,0.0605668157190739,672.9335446793683,Too Hot (Hot Zone),0.040239746866717024,Extreme Environment,49.68029696309673,Atmosphere Likely,0.0,Not Habitable,0.40239746866717024
567,Kepler-386 c,Kepler-386,Transit,2014,1.58,2.5658637970161826,25.193458,0.155,,555.4274431318927,,0.767,5178.0,-0.42087123773933766,,882.462,0.6505225238308182,15.793026566206418,Too Hot (Hot Zone),0.4305969478802655,Extreme Environment,14.254863765122279,Atmosphere Likely,0.0,Not Habitable,4.305969478802655
570,TOI-3261 b,TOI-3261,Transit,2024,3.82,30.3,0.8831331,0.01714,0.0,1722.0,0.861,0.849,5068.0,-0.36653,K1.5+/-1,300.141,0.5435663203294092,1463.6875029827468,Too Hot (Hot Zone),0.07303953456776144,Extreme Environment,31.50390925131647,Atmosphere Risk (Erosion),0.0,Not Habitable,0.7303953456776144
572,Kepler-221 d,Kepler-221,Transit,2014,2.73,7.915804375933816,10.04156,0.087,,776.6498540881863,,0.821,5243.0,-0.3401044049389379,,385.231,0.3890515158484079,60.374992501930265,Too Hot (Hot Zone),0.2304548664884077,Extreme Environment,19.047633140751454,Atmosphere Likely,0.0,Not Habitable,2.304548664884077
573,CoRoT-19 b,CoRoT-19,Transit,2011,14.46,352.78,3.89713,0.0518,0.047,2000.0,1.21,1.65,6090.0,0.544,F9 V,790.663,0.11668071373071992,1304.1888426989658,Too Hot (Hot Zone),0.029822625278314325,Extreme Environment,55.25131851432353,Atmosphere Likely,0.0,Not Habitable,0.29822625278314324
577,CoRoT-24 b,CoRoT-24,Transit,2014,3.7,5.7,5.1134,0.056,0.0,1070.0,0.91,0.86,4950.0,-0.3996924518113023,K1 V,591.555,0.11253035358221625,127.03737000350046,Too Hot (Hot Zone),0.09753451728480837,Extreme Environment,13.88389692549746,Atmosphere Risk (Erosion),0.0,Not Habitable,0.9753451728480838
578,Kepler-1585 b,Kepler-1585,Transit,2016,1.79,3.3180065866620194,3.5827463,0.044887612394978516,,1202.3858308806582,0.94,0.91,5538.0,-0.15561555975230254,,944.465,0.5785196980792275,346.8417981555743,Too Hot (Hot Zone),0.14337258544729084,Extreme Environment,15.229544751861008,Atmosphere Risk (Erosion),0.0,Not Habitable,1.4337258544729083
580,Kepler-383 b,Kepler-383,Transit,2014,1.32,1.7716678258094685,12.904532,0.095,,604.0559910551873,,0.672,4710.0,-0.7002879754094774,,,0.7703010762799606,22.09351489470874,Too Hot (Hot Zone),0.4100929180938532,Extreme Environment,12.95922405453549,Atmosphere Risk (Erosion),0.0,Not Habitable,4.1009291809385315
581,Kepler-642 b,Kepler-642,Transit,2016,2.9,8.9647849425151,4.41745855,0.058942811985285136,,1681.2699206851162,1.4,1.66,6570.0,0.6633675042865208,,781.582,0.36757492896449634,1325.8848324225328,Too Hot (Hot Zone),0.07173365768876065,Extreme Environment,19.667345803158703,Atmosphere Risk (Erosion),0.0,Not Habitable,0.7173365768876065
582,TOI-1416 b,TOI-1416,Transit,2023,1.62,3.48,1.0697568,0.019,0.0,1517.0,0.798,0.793,4884.0,-0.4934611543061256,G9 V,55.0135,0.8185292440741304,889.2659096481837,Too Hot (Hot Zone),0.10933838699906204,Extreme Environment,16.394830449915652,Atmosphere Risk (Erosion),0.0,Not Habitable,1.0933838699906204
583,K2-165 c,K2-165,Transit,2018,1.55409035,2.479939598680038,4.382745,0.04935217333010805,,1009.0446157750251,0.834847,0.803827,5185.0,-0.3777899276203025,,134.591,0.6607121786896929,172.0273531827335,Too Hot (Hot Zone),0.19440641202224446,Extreme Environment,14.130490414016988,Atmosphere Risk (Erosion),0.0,Not Habitable,1.9440641202224445
584,K2-17 b,K2-17,Transit,2015,2.23,5.2180473763042805,17.96753,0.119,,487.0,0.71,0.66,4320.0,-0.866087291689327,,125.106,0.47053662025796683,9.612111180643504,Too Hot (Hot Zone),0.44832316140078904,Extreme Environment,17.11103944346262,Atmosphere Likely,0.0,Not Habitable,4.483231614007891
585,Kepler-1385 b,Kepler-1385,Transit,2016,0.85,0.715489042358971,2.88879862,0.04158952647758067,,1539.3681763335376,1.15,1.29,5732.0,0.20729399746701288,,688.795,1.1650544145881883,931.8071661388653,Too Hot (Hot Zone),0.11171946308006422,Extreme Environment,10.262823160817362,Atmosphere Risk (Erosion),0.0,Not Habitable,1.1171946308006422
